layer,max_bond_chi,fidelity_with_zero,circuit_depth,circuit_size
5.100000000000000000e+01,8.000000000000000000e+00,9.021696944749273417e-01,1.100000000000000000e+02,4.160000000000000000e+02
5.200000000000000000e+01,8.000000000000000000e+00,9.003318100703247007e-01,1.120000000000000000e+02,4.240000000000000000e+02
5.300000000000000000e+01,8.000000000000000000e+00,8.808004630780181810e-01,1.140000000000000000e+02,4.320000000000000000e+02
5.400000000000000000e+01,8.000000000000000000e+00,8.831679685211325515e-01,1.160000000000000000e+02,4.400000000000000000e+02
5.500000000000000000e+01,8.000000000000000000e+00,8.413124014769889358e-01,1.180000000000000000e+02,4.480000000000000000e+02
5.600000000000000000e+01,8.000000000000000000e+00,8.724506626852802649e-01,1.200000000000000000e+02,4.560000000000000000e+02
5.700000000000000000e+01,8.000000000000000000e+00,8.884297583196025805e-01,1.220000000000000000e+02,4.640000000000000000e+02
5.800000000000000000e+01,8.000000000000000000e+00,8.661217054536649584e-01,1.240000000000000000e+02,4.720000000000000000e+02
5.900000000000000000e+01,8.000000000000000000e+00,8.909567270804777950e-01,1.260000000000000000e+02,4.800000000000000000e+02
6.000000000000000000e+01,8.000000000000000000e+00,8.745920173415207000e-01,1.280000000000000000e+02,4.880000000000000000e+02
6.100000000000000000e+01,8.000000000000000000e+00,8.655997651674564031e-01,1.300000000000000000e+02,4.960000000000000000e+02
6.200000000000000000e+01,8.000000000000000000e+00,8.573647011525559192e-01,1.320000000000000000e+02,5.040000000000000000e+02
6.300000000000000000e+01,8.000000000000000000e+00,8.845603524927292405e-01,1.340000000000000000e+02,5.120000000000000000e+02
6.400000000000000000e+01,8.000000000000000000e+00,8.408261824087081004e-01,1.360000000000000000e+02,5.200000000000000000e+02
6.500000000000000000e+01,8.000000000000000000e+00,8.730952640667797304e-01,1.380000000000000000e+02,5.280000000000000000e+02
6.600000000000000000e+01,8.000000000000000000e+00,8.955492639677342659e-01,1.400000000000000000e+02,5.360000000000000000e+02
6.700000000000000000e+01,8.000000000000000000e+00,9.160593698657337747e-01,1.420000000000000000e+02,5.440000000000000000e+02
6.800000000000000000e+01,8.000000000000000000e+00,9.286094490643489463e-01,1.440000000000000000e+02,5.520000000000000000e+02
6.900000000000000000e+01,8.000000000000000000e+00,9.159397840084022580e-01,1.460000000000000000e+02,5.600000000000000000e+02
7.000000000000000000e+01,7.000000000000000000e+00,9.489396303635492247e-01,1.480000000000000000e+02,5.680000000000000000e+02
7.100000000000000000e+01,7.000000000000000000e+00,9.629569555518288082e-01,1.500000000000000000e+02,5.760000000000000000e+02
7.200000000000000000e+01,7.000000000000000000e+00,9.723471687244203965e-01,1.520000000000000000e+02,5.840000000000000000e+02
7.300000000000000000e+01,7.000000000000000000e+00,9.467949276284483018e-01,1.540000000000000000e+02,5.920000000000000000e+02
7.400000000000000000e+01,6.000000000000000000e+00,9.767222051753861045e-01,1.560000000000000000e+02,6.000000000000000000e+02
7.500000000000000000e+01,6.000000000000000000e+00,9.549623402164303387e-01,1.580000000000000000e+02,6.080000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+00,9.738501023141015178e-01,1.600000000000000000e+02,6.160000000000000000e+02
7.700000000000000000e+01,6.000000000000000000e+00,9.800094831441154009e-01,1.620000000000000000e+02,6.240000000000000000e+02
7.800000000000000000e+01,6.000000000000000000e+00,9.900669815146074804e-01,1.640000000000000000e+02,6.320000000000000000e+02
7.900000000000000000e+01,6.000000000000000000e+00,9.878575561162755703e-01,1.660000000000000000e+02,6.400000000000000000e+02
8.000000000000000000e+01,6.000000000000000000e+00,9.899920636072925273e-01,1.680000000000000000e+02,6.480000000000000000e+02
8.100000000000000000e+01,5.000000000000000000e+00,9.846160183056172910e-01,1.700000000000000000e+02,6.560000000000000000e+02
