layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8
1.000000000000000000e+01,9.712891032357552357e-01,2.113838804446825648e-02,4.272924925024577762e-03,1.092281239994833536e-03,9.146246201897297078e-04,7.195241463931130498e-04,3.261814592956683787e-04,2.469723288808767757e-04,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,9.760757984212258265e-01,1.655033865484410727e-02,3.246406920428325862e-03,2.060947519871097599e-03,9.676257596433768000e-04,5.481615094874746959e-04,3.400179967819277980e-04,2.107032177208759333e-04,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,9.709696501765686660e-01,1.532634277735495446e-02,6.062171322007459638e-03,3.011091570094511123e-03,1.860315916022865822e-03,1.428916545253860419e-03,9.467707060581405463e-04,3.947409866379433070e-04,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,9.669775756593325111e-01,1.518379190875746715e-02,6.859610234161610601e-03,3.596552321741509992e-03,2.390445696126445273e-03,2.160772019919030007e-03,1.746356136059103344e-03,1.084896023903884855e-03,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,9.573823196775789190e-01,1.880250848214133630e-02,7.725062133424292002e-03,6.653304163276438019e-03,3.565883049017919658e-03,3.460496368421924450e-03,1.549054123349221691e-03,8.613720027905214004e-04,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,9.605089224989695751e-01,1.495851239905175711e-02,7.052433133967752135e-03,6.246947367214383123e-03,4.301068630359753883e-03,3.358840046254635628e-03,1.921363699874499001e-03,1.651912224308506837e-03,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,9.492491815929349208e-01,2.144555389363502276e-02,8.839503317952008762e-03,6.278606813997922829e-03,5.597980773149764493e-03,4.197049914961547938e-03,2.518435909787616628e-03,1.873687783580650201e-03,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,9.473479489619915928e-01,2.113635968997875855e-02,9.139250230665313043e-03,7.507268499520620281e-03,6.551503563461900589e-03,3.931052098010269155e-03,3.325098791499349858e-03,1.061518164872035956e-03,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,9.414597129025477074e-01,1.846422172151201968e-02,1.362294873826598238e-02,7.937858492268896546e-03,6.624767540162434035e-03,5.248893616665563366e-03,3.657424538648015779e-03,2.984172449931887967e-03,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,9.440972656780718397e-01,1.683641769061220567e-02,1.343251899195771308e-02,7.952289125693701513e-03,6.324380516416830411e-03,4.432323730893398921e-03,3.809812428176879463e-03,3.114991838177233463e-03,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
