layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,chi_s9,chi_s10,chi_s11,chi_s12,chi_s13,chi_s14,chi_s15,chi_s16,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8,target_s9,target_s10,target_s11,target_s12,target_s13,target_s14,target_s15,target_s16
1.000000000000000000e+01,9.714796928845604862e-01,1.114414725049622627e-02,6.982092904319919802e-03,4.681574721785845480e-03,2.438812876848588801e-03,1.533385367065969590e-03,1.161780063666093292e-03,5.780343993464448580e-04,1.828917851531882727e-07,7.484913558424997255e-08,6.692419888835658896e-08,6.037173350688450410e-08,3.948079129560684635e-08,2.570651347210547982e-08,2.011704416827054113e-08,9.190710434099709828e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,9.722484767343451129e-01,1.132279527646962332e-02,6.896828828244780732e-03,3.234036591928009241e-03,2.348618632961119949e-03,2.289399981738546915e-03,9.651892261673172737e-04,6.942865320850169020e-04,8.826100541295798653e-08,6.388010276867420693e-08,5.896365395457517814e-08,4.881246303550583374e-08,4.043162147390150980e-08,3.004813680512993864e-08,2.228332142043335460e-08,1.551575774334204589e-08,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,9.702976142063972631e-01,9.823313340683382730e-03,7.354201050926228826e-03,4.947249834947449638e-03,3.613725684506561165e-03,2.370589043974068513e-03,9.636135023494096742e-04,6.292677877266165520e-04,9.909036758904528380e-08,8.284156492494028645e-08,6.064948048872974882e-08,5.320847167174645723e-08,4.686405067936542036e-08,3.503640407661844459e-08,2.723522185538705090e-08,2.062292577939707659e-08,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,9.624867441152276104e-01,1.331024326860844910e-02,7.776766070548629499e-03,6.102557360544807324e-03,4.321468447703000725e-03,2.710183827522773519e-03,2.236651847823786527e-03,1.054960096071393865e-03,1.203048462157496561e-07,7.653855539526164662e-08,5.933269733954290971e-08,4.989715880165597362e-08,4.446770920406150792e-08,3.703799951230530624e-08,1.941351093005118273e-08,1.797347330403777813e-08,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,9.619671300209706732e-01,9.981731507528492087e-03,7.958823509117377015e-03,5.557347548274833328e-03,4.554737678539640816e-03,4.154516513745657585e-03,3.747299134839396535e-03,2.078044096878715798e-03,1.072588380923467372e-07,6.729530415669626355e-08,5.227092484671157859e-08,4.707725470898585366e-08,3.922733241068113630e-08,2.791302206823111475e-08,1.741379963424930269e-08,1.153363026536369172e-08,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,9.640830846515573427e-01,9.883778206484778242e-03,7.323790997213691992e-03,5.810379487942102586e-03,4.019077109483016642e-03,3.430214668374910979e-03,3.286005187254904120e-03,2.163346385911405715e-03,9.016716139383234068e-08,7.175113376971692906e-08,4.923949564866314219e-08,3.655603792899029529e-08,2.938090265403039758e-08,2.129881847018746547e-08,1.763546665262516962e-08,7.276762887525626775e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,9.474242033391616635e-01,2.093427446047592053e-02,8.259999880164382857e-03,7.535991433772545357e-03,6.564550715114273946e-03,4.276629876947078863e-03,3.582103686545120343e-03,1.421927183325341799e-03,8.078893712030232208e-08,7.292261531048634932e-08,4.646200996774138477e-08,3.800427388619070969e-08,3.141198232771208208e-08,2.629228898886063754e-08,1.265475250304381986e-08,1.088763289273181383e-08,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,9.491016468509047010e-01,1.825979218768773379e-02,9.708029931455343375e-03,6.335576859536526904e-03,5.939049820557518698e-03,4.883360866188971895e-03,3.764497991475210421e-03,2.007764567838426443e-03,7.212831691680673428e-08,5.186449541953222523e-08,4.193414826998190950e-08,3.395938720643083715e-08,2.811862906549198469e-08,2.538303399879468598e-08,1.919421517046861200e-08,8.342129633112611807e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,9.409294369478445885e-01,1.792490268247891663e-02,1.317033416301558249e-02,8.426089497734011446e-03,6.933430827883257583e-03,6.055649966706597338e-03,3.599849998142368255e-03,2.960040893490036452e-03,6.555796299357019466e-08,5.359692625072096128e-08,4.414240543655405028e-08,2.988415824190789367e-08,2.649753752808077993e-08,1.947487097443673020e-08,1.705475763033621866e-08,8.814087868207156264e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,9.426776336130314737e-01,1.983040655424208112e-02,1.092514534520551417e-02,8.083937504597529800e-03,7.073416484530884070e-03,5.413152988926312435e-03,3.443698688502983603e-03,2.552371362019370971e-03,6.098066035894993740e-08,4.740210689696260525e-08,3.696868749853342500e-08,3.160477124780331417e-08,2.494675028618563689e-08,1.673613713925303290e-08,1.332164782472471836e-08,5.498182823333660168e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
