layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,chi_s9,chi_s10,chi_s11,chi_s12,chi_s13,chi_s14,chi_s15,chi_s16,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8,target_s9,target_s10,target_s11,target_s12,target_s13,target_s14,target_s15,target_s16
1.000000000000000000e+01,9.622177890883126805e-01,1.320549062887803327e-02,8.980793672190484633e-03,7.681723055325121764e-03,3.232942938323679540e-03,2.098689884971265476e-03,1.944712413027647373e-03,4.557021458108503138e-04,6.449817607815775571e-05,4.471550942020643184e-05,3.456513077200317624e-05,2.299200045814969531e-05,9.509574829008296304e-06,3.429385874541109999e-06,1.656589826023728877e-06,7.898059040677799677e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,9.591383754235924819e-01,1.338031062653245382e-02,1.056659677720974896e-02,7.269893130294875078e-03,3.939693628574068851e-03,2.705242039682270987e-03,1.790627094000033382e-03,1.077933302768081976e-03,4.863019760062633898e-05,3.477910216101470802e-05,2.116249944290969276e-05,1.213218931043489725e-05,6.599666506437693205e-06,4.545206478212015850e-06,2.743641929487126774e-06,7.354739148113867479e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,9.636324936006783748e-01,1.053983283834744773e-02,7.275262505110056434e-03,6.376727854104605187e-03,4.628544878251717072e-03,3.954016143061979231e-03,2.123424655128077279e-03,1.311328495600084035e-03,5.508218547045407075e-05,3.288338798443153930e-05,2.786809008936191938e-05,2.345330477771069225e-05,1.045511610734972143e-05,5.102289207818997605e-06,2.207400632456104368e-06,1.317255451148917015e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,9.611400418177816762e-01,1.202532057059807133e-02,9.165171307358138675e-03,5.310412339184669532e-03,4.534688361175669494e-03,4.010628574327231195e-03,1.968409397085948281e-03,1.719009904634575007e-03,4.372695154418621292e-05,2.733757085942064002e-05,1.656885617788627306e-05,1.487945382113603486e-05,1.183968530244092359e-05,7.124032333209123302e-06,3.168216391785063025e-06,1.672961423106130310e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,9.573020122819895228e-01,1.479869627542274198e-02,9.567784331782312746e-03,6.611347199344097710e-03,4.157048042937537199e-03,3.044898104315472368e-03,2.757785935460100452e-03,1.660511621751040341e-03,3.439142954902916192e-05,1.998935939047442639e-05,1.589181911148463796e-05,1.361327005645068206e-05,6.967131453405602814e-06,4.811817418962978742e-06,2.978957235253186794e-06,1.272422780566859575e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,9.613267117381616433e-01,1.130895282011545183e-02,8.348319279623898567e-03,6.868362541342125892e-03,4.948815587779154847e-03,3.258867744381765356e-03,2.362249883083411810e-03,1.484651711928628055e-03,3.049785026417727198e-05,2.509490532343006065e-05,1.336220533618985780e-05,8.333863083223725087e-06,6.082748977660076164e-06,5.002977472461858073e-06,3.030332110645662969e-06,1.663811016775841311e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,9.595862274244634227e-01,1.167594009510642371e-02,7.760723095771670729e-03,7.208995351880196148e-03,5.361670179833602674e-03,4.588647598408147205e-03,2.737327918177804090e-03,9.918207201004881641e-04,3.228585739106215320e-05,1.764120967120069578e-05,1.573432180492753259e-05,8.621989754821348886e-06,5.959916697870500210e-06,4.734348319806280686e-06,2.102582973799618541e-06,1.567389646905855304e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,9.608250569267434704e-01,9.644838592246969544e-03,8.746619913379863678e-03,7.060333756230973042e-03,5.338380116416601394e-03,3.573397223078076702e-03,2.406765572198922738e-03,2.328820434235172668e-03,2.708317970630286597e-05,1.302706462876365206e-05,9.913687794899850566e-06,8.636480070859655581e-06,6.600735950616807206e-06,4.954035116577118521e-06,3.629833450297118790e-06,1.942448752291715664e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,9.606160983719225221e-01,1.287744635133016013e-02,7.544758514515869513e-03,6.543047703484222884e-03,4.152988338008424020e-03,3.469850740862093913e-03,2.616918523689350760e-03,2.109917954431988086e-03,1.602804061052916375e-05,1.574674180909441779e-05,1.305623050002600955e-05,9.400522354896582278e-06,5.921330889832771546e-06,3.345327291988697063e-06,2.961420900377924224e-06,2.513887395755824751e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,9.586911552647490176e-01,1.217211904470223011e-02,8.497412370159442355e-03,7.202602006712305847e-03,5.770830347128460755e-03,3.270192914055991378e-03,2.922923781780487149e-03,1.402612603827957383e-03,1.999856920329815690e-05,1.321522508993667441e-05,1.116773319895670780e-05,9.401191663767895316e-06,7.042877686162036233e-06,4.755186223853907800e-06,3.246951877924714578e-06,1.323931941969500436e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,9.558266795075857081e-01,1.109927299987716921e-02,1.004771437890237748e-02,8.777659168277279420e-03,4.645497663908536821e-03,4.066327281364416797e-03,3.213974440491893913e-03,2.256867884704868467e-03,1.802942782553902651e-05,1.211065667827793154e-05,9.758770684811953521e-06,8.806884887941353703e-06,6.534430912584482348e-06,4.926590536774935995e-06,3.756358293342796301e-06,2.083555068002497377e-06,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
