layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8
1.000000000000000000e+01,9.660604987576441038e-01,1.569778607925005273e-02,9.833213777843546888e-03,7.584637735231308971e-03,5.287109971942470423e-04,1.906084115506202314e-04,7.373178510680727341e-05,3.081245618168270214e-05,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.100000000000000000e+01,9.642879361185642262e-01,1.639623675696940189e-02,1.143336371966316781e-02,6.771643073586783301e-03,6.092598956809458770e-04,2.669160899670125898e-04,1.781315366545067685e-04,5.651280891166593923e-05,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.200000000000000000e+01,9.684296250711313947e-01,1.300325365141930326e-02,9.407543356135129181e-03,6.629670348758913943e-03,1.078602324910430928e-03,7.842844743356809775e-04,4.492996079401377478e-04,2.177211653717414316e-04,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.300000000000000000e+01,9.644341173319945781e-01,1.367666603137982981e-02,1.107612335644542895e-02,7.124478764399411884e-03,1.433283189620492741e-03,1.045702346934481060e-03,6.843071500882173461e-04,5.253218291379863850e-04,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.400000000000000000e+01,9.605164608371230539e-01,1.510668608002196586e-02,1.196907289469286394e-02,8.819612653411910627e-03,1.521133950422935482e-03,7.861504109688819721e-04,7.676285294820522952e-04,5.132546438756714104e-04,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.500000000000000000e+01,9.643469769957770943e-01,1.299803833602477914e-02,1.120752312253488377e-02,6.689758995706948826e-03,1.871915948105166245e-03,1.411000351717631076e-03,8.713145063410527311e-04,6.034717437925866132e-04,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.600000000000000000e+01,9.627922815545342239e-01,1.531167672534466950e-02,1.208011695913198923e-02,4.633145848266725930e-03,2.146507783008978591e-03,1.480617312149594194e-03,8.369724014021763178e-04,7.186814161631772556e-04,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.700000000000000000e+01,9.592619781949649482e-01,1.820700437384611611e-02,9.358114377359512404e-03,7.738523232547043010e-03,2.123636224021289726e-03,1.319533141890561921e-03,1.162528349068755800e-03,8.286821063014505710e-04,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.800000000000000000e+01,9.611607378593637341e-01,1.445201487885741307e-02,8.668127629052928967e-03,8.233455203829760996e-03,3.904346116722339204e-03,1.738992397152981911e-03,1.145907292667126039e-03,6.964186223508177708e-04,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.900000000000000000e+01,9.613553309269076141e-01,1.281049199157759458e-02,9.062549415317118842e-03,7.512972531861799100e-03,4.766567372882887961e-03,1.982703189025841143e-03,1.470330449674101935e-03,1.039054122755621182e-03,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
